ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Gram stain
147182,F4626,"CCUG 33010, ATCC 49961, CIP 104031, CCM 4883",0,Roseomonas sp.,GCA_008365375,negative
75,HS-69,"DSM 19981, JCM 15034, KCTC 22213",1,Roseomonas stagni,GCA_900114315,negative
157913,Z23,"DSM 106207, CGMCC 1.16540",1,Roseomonas wenyumeiae,GCA_003696345,negative
13962,JA135,"DSM 18985, ATCC BAA-1364, JCM 14191",1,Roseospira goensis,GCA_014197795,negative
13963,JA131,"DSM 19947, ATCC BAA-1365, JCM 14190",1,Roseospira visakhapatnamensis,GCA_014197915,negative
130621,SMK-122,"DSM 29438, CCUG 55325, KCTC 22174",1,Roseovarius aestuarii,GCA_019966515,negative
133325,GHTF-24,"KCTC 52454, NBRC 112420",1,Roseovarius aestuariivivens,GCA_004761875,negative
166221,GCL-8,"MCCC 1A11651, KCTC 52430",1,Roseovarius amoyensis,GCA_003260265,negative
141127,R12B,"MCCC 1A09786, KCTC 42506",1,Roseovarius atlanticus,GCA_001441615,negative
163871,MME-070,"JCM 30757, KCCM 43142",1,Roseovarius faecimaris,GCA_009762325,negative
130623,HJ50,"DSM 29507, KCTC 22224, LMG 24468",1,Roseovarius halotolerans,GCA_003634925,negative
135550,,"CIP 109942, CECT 7450",1,Roseovarius albus,GCA_900172335,negative
24500,112,"DSM 28463, JCM 17743, KACC 16185",1,Roseovarius lutimaris,GCA_900115165,negative
13770,,"DSM 17069, NCIMB 14077, DFL 24",1,Roseovarius mucosus,GCA_000768555,negative
130624,NH52J,"DSM 29590, CCTCC AB 208317, LMG 24840, MCCC 1A03543",1,Roseovarius nanhaiticus,GCA_900156535,negative
159704,TFZ,"MCCC 1K03339, KCTC 52967",1,Roseovarius nitratireducens,GCA_002925845,negative
130622,81-2,"DSM 29589, CGMCC 1.7083, LMG 24575, MCCC 1A00293",1,Roseovarius pacificus,GCA_014645335,negative
158669,N53,"MCCC 1H00200, KCTC 52886",1,Roseovarius salinarum,GCA_002834145,negative
167665,HN-E21,"MCCC 1K03333, LMG 30456",1,Roseovarius spongiae,GCA_003651245,negative
13766,EL-172,"DSM 11457, JCM 21346, CIP 106398, IAM 14840, IFO 16695, NBRC 16695, CECT 7738",1,Roseovarius tolerans,GCA_900109855,negative
166404,Poly24,"DSM 102938, VKM B-3434, LMG 31347, CECT 9848",1,Rosistilla carotiformis,GCA_007753095,negative
166405,CA51,"DSM 104080, LMG 29702",1,Rosistilla oblonga,GCA_007751715,negative
1225,TF-12,"DSM 16205, JCM 11545, KCCM 41589, CIP 108136",1,Rossellomorea aquimaris,GCA_001648555,positive
1224,TF-11,"DSM 16204, JCM 11544, KCCM 41588, CIP 108135",1,Rossellomorea marisflavi,GCA_001274775,positive
1258,15-1,"DSM 18898, CIP 108672, HSCC 1663, JCM 11124, NRIC 0531, NRRL B-23890, BCRC 80102, LMG 24742, NBRC 101237",1,Rossellomorea vietnamensis,GCA_001591825,positive
7780,"A 1-17B, A1-17B","CCUG 51932, JCM 11412, DSM 14556, GTC 867, CIP 108437, IFM 10514, NCIMB 14248",1,Rothia aeria,GCA_002355935,positive
132581,140917-MRSA-09,"DSM 102816, CCM 8669, LMG 29446, JCM 31759, CIP 111029",1,Rothia aerolata,GCA_014635585,positive
7661,,"DSM 18442, CCTCC AB 206069, JCM 31975, KCTC 19172, YIM 90716",1,Rothia halotolerans,GCA_004136635,positive
7664,P31,"DSM 23367, JCM 15915, KCTC 19595, CIP 110210",1,Rothia koreensis,GCA_004136575,positive
7637,PM 129,"DSM 20032, ATCC 27570, CCM 2690, CCUG 33026, JCM 7237, CIP 81.69, GIFU 9131, IAM 13590, IFO 15354, LMG 14215, NBRC 15354, NCIMB 14427, NCTC 11038, NRRL B-14835, VKM Ac-2190, VKM B-1811",1,Rothia kristinae,GCA_001570865,positive
7777,5762/67,"DSM 20746, ATCC 25296, CCM 2417, NCTC 10663, CCUG 20962, CIP 71.14, JCM 10910, GIFU 9911, GTC 311, IAM 14815, IFM 10890, IFO 15673, IMSNU 22101, NBRC 15673, NCDO 2360, NCIMB 702360, PCM 2415, CCUG 3707",1,Rothia mucilaginosa,GCA_000175615,positive
7783,L-143,"DSM 22277, BCRC 17588, LMG 23708, CCUG 55855, JCM 15158",1,Rothia terrae,GCA_012396615,positive
131542,323,"DSM 100043, CIP 111153",1,Rouxiella badensis,GCA_002093665,negative
140277,213,"DSM 103735, CIP 111154",1,Rouxiella silvae,GCA_002093625,negative
17802,,"DSM 21368, CCTCC AB 208069, KCTC 19413, YIM 93306, JCM 19145, NBRC 109067",1,Ruania alba,GCA_900105765,positive
17801,3-6,"DSM 18029, CGMCC 4.3142, JCM 13910, PCM 2644, NBRC 106322, CIP 109565",1,Ruania albidiflava,GCA_000421225,positive
13778,5715S-9,"DSM 19297, KACC 12504",1,Rubellimicrobium aerolatum,GCA_017872975,negative
13777,,"DSM 19309, KCTC 22012, MSL 20",1,Rubellimicrobium mesophilum,GCA_000600335,negative
13774,"C-lvkR2A-2, C-lvk-R2A-2","DSM 16684, CCUG 51817, HAMBI 2421, CIP 109278",1,Rubellimicrobium thermophilum,GCA_000442315,negative
158400,ResAG-85,"DSM 105129, JCM 32272",1,Rubneribacter badeniensis,GCA_002899695,positive
13831,,"DSM 15345, CIP 105913, JCM 10189, NBRC 100047, OCh 317, IAM 14838",1,Rubrimonas cliftonensis,GCA_900107585,negative
166396,"Pla22, Pla 22","DSM 102267, LMG 29691",1,Rubripirellula amarantea,GCA_007859865,negative
166397,Poly59,"DSM 103767, LMG 29696",1,Rubripirellula reticaptiva,GCA_007860175,negative
166398,Poly51,"DSM 103356, VKM B-3438",1,Rubripirellula tenax,GCA_007860125,negative
159705,SAORIC-165,"NBRC 110691, KCTC 52460",1,Rubritalea profundi,GCA_002954445,negative
17851,HOact 23,"DSM 18772, MBIC 08254, NBRC 103619",1,Rubritalea squalenifaciens,GCA_900141815,negative
133914,SAORIC-28,"KCTC 23867, NBRC 108816",1,Rubrivirga marina,GCA_002283365,negative
167641,ICH-3,"BCRC 81155, KCTC 62866, LMG 30930",1,Rubrivivax albus,GCA_004016515,negative
17933,,"DSM 1709, ATCC 17011, NCIB 8290, JCM 21318, ATCC 11169, CCTM 1912, CCUG 15841, CCUG 21977, CCUG 21990, CIP 107072, IAM 14808, IFO 16663, LMG 4311, LMG 4438, NBRC 16663, NCIMB 8290",1,Rubrivivax gelatinosus,GCA_004340905,negative
158426,,"DSM 105148, CGMCC 1.16398, SCSIO 08198, JCM 33406",1,Rubrobacter indicoceani,GCA_003568865,positive
14035,P-1,"DSM 5868, ATCC 51242, DSM 46359, IAM 12072, JCM 2153, BCRC 17324, CIP 106991, IFO 14777, IMET 11468, NBRC 14777, NCIMB 12766, VKM Ac-1989",1,Rubrobacter radiotolerans,GCA_900175965,positive
14036,PRD-1,"DSM 9941, IFO 16129, NBRC 16129, JCM 11954, CIP 105412, NBRC 100952",1,Rubrobacter xylanophilus,GCA_000014185,positive
17624,KIS3-4,"DSM 22992, JCM 15422, KACC 12734",1,Rudaea cellulosilytica,GCA_000378125,negative
22986,HOR6-4,"DSM 19560, KACC 12637",1,Rudaeicoccus suwonensis,GCA_007829035,positive
3834,57155-11,"DSM 19387, KACC 12603, JCM 16390, NBRC 106408",1,Rudanella lutea,GCA_000383955,negative
166319,HX-22-17,"KCTC 72656, CCTCC AB 2019347",1,Rudanella paleaurantiibacter,GCA_009184635,negative
24504,TW15,"DSM 29317, JCM 17315, KACC 15115",1,Ruegeria conchae,GCA_000192475,negative
135100,5OM10,"CIP 108403, CECT 5091, LMG 29896",1,Ruegeria denitrificans,GCA_001458295,negative
24502,HD-28,"DSM 28009, CCUG 58878, KCTC 23044",1,Ruegeria faecimaris,GCA_900182615,negative
24503,MA1-6,"DSM 27839, CCUG 60744, KCTC 23463",1,Ruegeria halocynthiae,GCA_900106805,negative
24505,CC-GIMAT-2,"DSM 23285, CCM 7758, CCUG 59209, DSM 104504, DSM 29341, LMG 25539",1,Ruegeria intermedia,GCA_900129345,negative
159879,J95,"MCCC 1K03284, DSM 104293",1,Albibacillus kandeliae,GCA_003116585,negative
13788,ZH17,"DSM 24837, CGMCC 1.9108, JCM 16262",1,Ruegeria marina,GCA_900101475,negative
158547,ZGT118,"JCM 19519, ACCC 19862",1,Ruegeria marisrubri,GCA_001507595,negative
158548,ZGT108,"JCM 19518, ACCC 19861",1,Ruegeria profundi,GCA_001507545,negative
158531,MDT1-10-3,"CGMCC 1.9789, NBRC 109705",1,Rufibacter glacialis,GCA_008271745,negative
133023,CAI-18b,"DSM 29854, NCAIM B.02614",1,Rufibacter ruber,GCA_014138425,negative
133192,,"CCM 8646, LMG 29438",1,Rufibacter ruber,GCA_001647275,negative
166441,H-1,"CGMCC 1.16289, NBRC 113030",1,Rufibacter sediminis,GCA_014269285,negative
133402,CC-MHH0563,"BCRC 80918, JCM 31066",1,Ruficoccus amylovorans,GCA_014230085,negative
133073,Ca6,"DSM 103039, ATCC TSD-59",1,Rugosibacter aromaticivorans,GCA_000934545,negative
8049,Delta3,"DSM 45228, JCM 18305, NBRC 104875",1,Rugosimonospora africana,GCA_016862975,positive
2567,Cc,"DSM 1351, ATCC 15832, NCIMB 10669, JCM 1422, LMG 5589, BCRC 14495, KCTC 15225, KCTC 3044, VPI 3359",1,Ruminiclostridium cellobioparum subsp. cellobioparum,GCA_000621505,variable
2760,H10,"DSM 5812, ATCC 35319, JCM 6584",1,Ruminiclostridium cellulolyticum,GCA_000022065,positive
2848,CDT-1,"DSM 19573, JCM 14807",1,Ruminiclostridium sufflavum,GCA_003208175,negative
17686,18P13,"DSM 18848, JCM 17042, KCTC 15320",1,Ruminococcus champanellensis,GCA_000210095,positive
17685,CCRI-16110,"DSM 19829, CCUG 54292, JCM 14987, NML 060141, CIP 109512",1,Ruminococcus gauvreauii,GCA_000425525,positive
18131,1446,"DSM 15030, JCM 11075, NBRC 101231, NRRL NRS-1691, CIP 107434, DSM 7260, KCTC 13923",1,Rummeliibacillus pycnus,GCA_002884495,positive
18132,KSC-SF6g,"DSM 25578, NBRC 104870, NRRL B-51320, CIP 110061",1,Rummeliibacillus stabekisii,GCA_007988965,positive
166297,YX9,"KCTC 62875, CCTCC AB 2018214",1,Runella aurantiaca,GCA_003339505,negative
3818,EMB13,"DSM 17976, KCTC 12614",1,Runella defluvii,GCA_014195535,negative
3817,EMB111,"DSM 17973, KCTC 12615",1,Runella limosa,GCA_000482465,negative
132588,585-1,"DSM 100348, VKM B-2901",1,Ruthenibacterium lactatiformans,GCA_000949455,negative
158549,HMF6543,"KCTC 52401, NBRC 112674, HME 6543",1,Wocania arenilitoris,GCA_021728535,negative
170898,ATSA2,"KCTC 43072, CCTCC AB 2019223",1,Saccharibacillus brassicae,GCA_006542275,positive
140934,WLJ055,"CGMCC 1.15276, KCTC 33693",1,Saccharibacillus deserti,GCA_013185225,positive
133027,JM-1350,"DSM 103533, CCM 8702, LMG 29710, CIP 111111",1,Saccharibacillus endophyticus,GCA_013185185,positive
11668,HR1,"DSM 22868, CGMCC 1.6964, JCM 14865, KCTC 13182",1,Saccharibacillus kuerlensis,GCA_000378145,positive
133208,H6,"CCTCC AB 2016001, JCM 31172",1,Saccharibacillus qingshengii,GCA_013185195,positive
11667,GR21,"DSM 19268, LMG 24085",1,Saccharibacillus sacchari,GCA_000585395,variable
63,S-877,"DSM 15669, AJ 13480, JCM 12116",1,Saccharibacter floricola,GCA_000378165,negative
3773,,"DSM 9555, ATCC 19072, IAM 14302, NCIMB 2218, JCM 21142, CECT 7602, CIP 104805, IFO 15936, LMG 1338, NBRC 15936",1,Saccharicrinis fermentans,GCA_000517085,negative
23219,DS3030,"DSM 45685, KCTC 29069, NRRL B-24885",1,Saccharomonospora amisosensis,GCA_011761185,positive
13433,NA-128,"DSM 44631, ATCC 43670, IFO 14651, JCM 7551, KCTC 9475, KCTC 9693, MTCC 1552, NBRC 14651, NCIMB 12630, SIIA 86128, BCRC 16220, CGMCC 4.1328, IMSNU 20117, IFO (now NBRC) 14651",1,Saccharomonospora azurea,GCA_000231055,positive
13430,"NA-134, IFO(now NBRC) 14841","DSM 44106, ATCC 43724, IFO 14841, JCM 7552, KCTC 9478, KCTC 9659, NBRC 14841, SIIA 88134, CGMCC 4.1327, IMSNU 20119, MTCC 1550, SIIA 86134",1,Saccharomonospora cyanea,GCA_000244975,positive
13432,8,"DSM 44411, JCM 11761, NRRL B-24125, BCRC 16373, CIP 107429, CPCC 203285",1,Saccharomonospora halophila,GCA_000383775,positive
13434,,"DSM 44619, CCRC 16315, CCTCC AA 001018, YIM 90007, JCM 13241, BCRC 16315, KCTC 9971, CIP 107982",1,Saccharomonospora iraqiensis subsp. paurometabolica,GCA_000231035,positive
158719,06168H-1,"BCRC 16893, KCTC 19743",1,Saccharomonospora piscinae,GCA_005862235,positive
13435,,"DSM 45087, CCTCC AB 207003, KCTC 19234, YIM 90502, JCM 15627",1,Saccharomonospora saliphila,GCA_000383795,positive
470,2-40,"DSM 17024, ATCC 43961, CCUG 66513",1,Saccharophagus degradans,GCA_000013665,negative
13467,"05-74, I05-00074","DSM 45119, CCM 7463, KCTC 19303, JCM 16610, CPCC 201024",1,Saccharopolyspora antimicrobica,GCA_003635025,positive
24454,,"DSM 46699, KCTC 19889, NBRC 108675, KLBMP 1305",1,Saccharopolyspora dendranthemae,GCA_007829955,positive
13458,07,"DSM 44771, AS 4.1520, IFO 16345, JCM 10665, KCTC 19905, NBRC 16345, CGMCC 4.1520",1,Saccharopolyspora flava,GCA_900116135,positive
13473,,"DSM 45582, CCTCC AA 207006, KCTC 19243, YIM 60513, JCM 30582, BCRC 16909",1,Saccharopolyspora gloriosae,GCA_014203325,positive
13470,W12,"DSM 45556, CGMCC 4.3529, JCM 14613",0,Saccharopolyspora kobensis,GCA_900112555,positive
24452,,"DSM 45975, CCTCC AA 2010012, KCTC 19987, TRM 40133",1,Halosaccharopolyspora lacisalsi,GCA_014137975,positive
13474,SR8.15,"DSM 45584, BCC 35844, NRRL B-24798, TISTR 1921, JCM 16708, NBRC 106097",1,Saccharopolyspora phatthalungensis,GCA_000715915,positive
166478,H219,"TBRC 8564, NBRC 113388",1,Saccharopolyspora rhizosphaerae,GCA_003931915,positive
13469,strain 88,"DSM 45244, CGMCC 4.3530, JCM 14614",1,Saccharopolyspora shandongensis,GCA_900106995,positive
13464,,"DSM 45425, CCTCC AA 208003, KCTC 19397, YIM 61095",0,Saccharopolyspora endophytica,GCA_018070075,positive
132513,T3,"DSM 46801, CGMCC 4.7206, JCM 33044",1,Saccharopolyspora subtropica,GCA_014646075,positive
167100,LZ-5,"KCTC 62460, CCTCC AB 2017232",1,Saccharospirillum alexandrii,GCA_004000275,negative
159727,HK-33,"KCTC 62178, MCCC 1K03440",1,Saccharospirillum mangrovi,GCA_003054775,negative
24542,YIM-Y25,"DSM 19800, KCTC 22169, CCTCC AA 207033, UCCCB26",1,Saccharospirillum salsuginis,GCA_014651855,negative
13485,SA 233,"DSM 44581, NRRL B-24137, JCM 13242, NBRC 101915",1,Saccharothrix algeriensis,GCA_016907655,positive
24455,Sa152,"DSM 45456, CCUG 60213",1,Saccharothrix saharensis,GCA_006716745,positive
13491,D409-5,"DSM 43911, ATCC 31203, IFO 14104, JCM 3273, KCC A-0273, NBRC 14104, NRRL B-16296, BCRC 12047",1,Saccharothrix variisporea,GCA_003634995,positive
13490,YU 692-1,"DSM 45084, KCTC 19326, NBRC 102064, JCM 16955",1,Saccharothrix violaceirubra,GCA_014203755,positive
131262,F028-2,"DSM 102235, JCM 17627, KCTC 23543",1,Sagittula marina,GCA_014196795,negative
1680,Se-3111,"DSM 13521, JCM 13524, NBRC 104395, NRRL B-24118",1,Salana multivorans,GCA_003751805,positive
160625,RR3-28,"DSM 107947, KCTC 52649",1,Salaquimonas pukyongi,GCA_001953055,negative
5643,,"DSM 23515, KCTC 12560, KMM 7019, LMG 23205",1,Salegentibacter agarivorans,GCA_900113135,negative
5640,Fg 69,"DSM 17794, CIP 107843, KMM 6000",1,Salegentibacter flavus,GCA_900115145,negative
5641,,"DSM 23405, KMM 3524, LMG 21968, NBRC 100249, CIP 108846",1,Salegentibacter holothuriorum,GCA_900168045,negative
5644,ISL-6,"DSM 23401, CCUG 54355, KCTC 12974",1,Salegentibacter salarius,GCA_001752425,negative
5639,,"DSM 5424, ACAM 48, ATCC 51522, CCUG 33447, LMG 13193, CIP 104041",1,Salegentibacter salegens,GCA_003001895,negative
5645,ISL-4,"DSM 23400, CCUG 54354, KCTC 12975",1,Salegentibacter salinarum,GCA_002833365,negative
159784,K5023,"KCTC 52477, MCCC 1H00173",1,Salegentibacter sediminis,GCA_002078605,negative
140592,JZ3C34,"KCTC 52047, MCCC 1K02288",1,Salibacter halophilus,GCA_008806325,negative
1284,17-5,"DSM 18341, CGMCC 1.3227",1,Salibacterium aidingense,GCA_000429685,positive
1276,CM1,"DSM 21621, CGMCC 1.6134, JCM 14087, CIP 109642",1,Salibacterium qingdaonense,GCA_900114715,positive
1549,"HK 733), HK 733","DSM 20748, ATCC 49811, CCM 3517, IAM 12845, JCM 2574, CIP 104820, LMG 17430, NBRC 102360, VKM Ac-1949",1,Salimicrobium album,GCA_900107115,positive
1551,ISL-25,"DSM 23127, CCUG 56755, KCTC 13260, ISL -25",1,Salimicrobium flavidum,GCA_900156645,positive
1830,SL014B-41A4,"DSM 22962, CGMCC 1.9161",1,Salinarimonas ramus,GCA_014645695,negative
1829,,"DSM 21201, CCTCC AA 208038, KCTC 22346, YIM YD3",1,Salinarimonas rosea,GCA_000429045,negative
134051,J4,"CGMCC 1.12331, JCM 18732",1,Salinibacillus xinjiangensis,GCA_009649735,positive
17796,M31,"DSM 13855, CECT 5946, CIP 107417",1,Salinibacter ruber,GCA_000013045,negative
7488,,"DSM 16400, KCTC 9931, KMM 3673, JCM 12362, CIP 108377, IAM 15155, NBRC 100448",1,Salinibacterium amurskyense,GCA_002797685,positive
7489,0543,"DSM 22272, CGMCC 1.5381, JCM 13926",1,Salinibacterium xinjiangense,GCA_014645015,positive
168453,WDS2A16A,"KCTC 52225, MCCC 1H00139",1,Salinibius halmophilus,GCA_003577475,negative
14437,YIM-Y21,"DSM 19776, CCTCC AA 207024, KCTC 13192",1,Salinicoccus albus,GCA_000385175,positive
14428,T8,"DSM 16010, AS 1.2691, JCM 11311, ATCC BAA-722, CGMCC 1.2691, CIP 107622, KCTC 13928",1,Salinicoccus alkaliphilus,GCA_900142805,positive
14438,Crm,"DSM 23852, JCM 15796, KCTC 13301",1,Salinicoccus carnicancri,GCA_000330705,positive
14435,W24,"DSM 19336, CGMCC 1.6501",1,Salinicoccus halodurans,GCA_900114445,positive
14426,J-82,"DSM 5352, ATCC 49259, CCM 4148, CCUG 43288, JCM 14631, CIP 104760, NCIMB 12836",1,Salinicoccus hispanicus,GCA_009831115,positive
14431,,"DSM 17002, CGMCC 1.6511, JCM 19028, KCTC 3941, YIM 70202, CIP 109745",1,Salinicoccus luteus,GCA_000712035,positive
23290,ZXM223,"DSM 27102, CGMCC 1.8895, LMG 24855",1,Salinicoccus qingdaonensis,GCA_900101075,positive
14427,9,"CCUG 43291, DSM 5351, ATCC 49258, CCM 3516, JCM 14630, CIP 104761, NCIMB 12835",1,Salinicoccus roseus,GCA_003814515,positive
166378,L3,"CGMCC 1.17272, KCTC 72572",1,Salinicola corii,GCA_008298015,negative
132891,CG4.1,"DSM 14325, CECT 5903, LMG 23626, UCCCB105, CG 4.1, CIP 109715",1,Salinicola halophilus,GCA_003206155,negative
140936,MSSRFH1,"KCTC 32998, NBRC 110222",1,Salinicola rhizosphaerae,GCA_014652715,negative
6080,M27,"DSM 18044, CIP 109895, KCTC 12664, UCCCB106",1,Salinicola salarius,GCA_002179555,negative
140612,F01,"KCTC 42855, CCTCC AB 2015304",1,Salinicola tamaricis,GCA_003006155,negative
140643,YJ-50-S2,"JCM 30033, CGMCC 1.12572",1,Salinigranum salinum,GCA_009176545,negative
24516,ISL-46,"DSM 27842, CCUG 56758, KCTC 22485, ISL -46",1,Salinihabitans flavidus,GCA_900110425,negative
5733,HY1,"DSM 23553, CGMCC 1.6101, JCM 14015, CIP 109554",1,Salinimicrobium catena,GCA_900102915,negative
133600,,"KCTC 12719, LMG 25395, KMM 6270, KCTC 23286",1,Salinimicrobium marinum,GCA_014651535,negative
5735,YIM-C338,"DSM 17865, CGMCC 1.6308",1,Salinimicrobium terrae,GCA_000424665,negative
5734,BH206,"DSM 19287, KCTC 12883",1,Salinimicrobium xinjiangense,GCA_000423585,negative
471,"BH030046, 25.101","DSM 16280, KCTC 12239",1,Alteromonas chungwhensis,GCA_000378185,negative
167381,HMF8227,"KCTC 62462, NBRC 113230T, NBRC 113230",1,Saliniradius amylolyticus,GCA_003143555,negative
158814,ZS-35-S2,"CGMCC 1.12551, JCM 30036",1,Salinirubellus salinus,GCA_025231485,negative
17789,,"DSM 24264, CCTCC AB 2011132, JCM 17431, YIM 95161",1,Salinisphaera halophila,GCA_003732545,negative
133949,YTM-1,"JCM 18087, CECT 8012",1,Salinisphaera japonica,GCA_003788585,negative
133667,MK-B5,"KCTC 23198, JCM 17073",1,Salinisphaera orenii,GCA_003788635,negative
8027,,"DSM 44819, ATCC BAA-917, CIP 108942, JCM 13856, CNH 643, BCRC 16821, NBRC 105043",1,Salinispora arenicola,GCA_000259615,positive
8026,,"DSM 44818, ATCC BAA-916, CIP 108943, JCM 13857, CNB 440, BCRC 16822, NBRC 105044",1,Salinispora tropica,GCA_000016425,positive
17241,,"DSM 11403, ATCC 33508, NCIMB 701, CCUG 20305, JCM 15095, BCRC 12910, CAIM 910, CCM 3575, CECT 4059, CGMCC 1.2322, CIP 103310, LMG 11651, LMG 6460, NCCB 77008",1,Vibrio costicola,GCA_000390145,negative
17242,DV,"DSM 8285, CAIM 735, JCM 15096, CIP 106635, LMG 23654, NCIMB 13669",1,Salinivibrio costicola subsp. vallismortis,GCA_001996225,negative
17245,AF-2004,"DSM 19052, CIP 109598",1,Salinivibrio proteolyticus,GCA_001996165,negative
17246,ND1-1,"DSM 26187, JCM 14472, PCU 301, TISTR 1810",1,Salinivibrio siamensis,GCA_001996005,negative
133066,L21-Spi-D4,"DSM 27204, JCM 31231, KCTC 15528",1,Salinivirga cyanobacteriivorans,GCA_001443605,negative
1120,"PN 105, AC 13","DSM 8721, ATCC 700163, CIP 105302",1,Salipaludibacillus agaradhaerens,GCA_002019735,positive
140829,S9,"KCTC 33633, LMG 28644",1,Salipaludibacillus aurantiacus,GCA_900111295,positive
1293,,"DSM 19794, CCTCC AB 207161, KCTC 13187, JSM 071004",1,Salipaludibacillus neizhouensis,GCA_002886185,positive
141051,,"KCTC 4228T, CGMCC 1.15824, DSM 101065, KCTC 4228, YIM 93745, JCM 17436",1,Saliphagus infecundisoli,GCA_020177375,negative
13660,CK-I3-6,"DSM 26424, CCTCC AB 209064, LMG 25230, MCCC 1A03060",1,Salipiger marinus,GCA_900100085,negative
13790,A3,"DSM 16094, CECT 5855, LMG 22090, CIP 108570",1,Salipiger mucosus,GCA_000442255,negative
1546,CVS-14,"DSM 19612, CIP 108577, LMG 22839",1,Salirhabdus euzebyi,GCA_014207435,positive
17797,S4-4,"DSM 21114, CECT 7354",1,Salisaeta longa,GCA_000419585,negative
1295,MLTeJB,"DSM 22320, ATCC BAA-1786, KCTC 15200",1,Salisediminibacterium beveridgei,GCA_001721685,positive
1571,halo-2,"DSM 26530, CGMCC 1.7654, NBRC 104935",1,Salisediminibacterium halotolerans,GCA_003814815,positive
23765,X4B,"DSM 27696, IBRC-M 10629, KCTC 13827",1,Saliterribacillus persicus,GCA_003337485,positive
138429,,"CIP 55.35, ATCC 19430, NCTC 8385, CUETM 79.394, HAMBI 1306, CCUG 35699",0,Salmonella enterica,GCA_900456745,negative
139467,LRA 026 08 75,"CIP 103543, ATCC 11997",0,Salmonella enterica,GCA_000487255,negative
139672,,"CIP 104220, ATCC 10708, ETS 34",0,Salmonella enterica,GCA_000487295,negative
5127,,"DSM 9386, ATCC 13314, CIP 8230, NCTC 8297, CCUG 6322, JCM 1654, BCRC 10742, CIP 82.30, KCTC 12398, LMG 10757",1,Salmonella enterica subsp. arizonae,GCA_008692845,negative
5128,,"CCUG 30040, DSM 14847, ATCC 43973, CIP 82.31, NCTC 10060",1,Salmonella enterica subsp. diarizonae,GCA_016030095,negative
5117,LT2,"DSM 17058, ATCC 43971, CIP 60.62, NCIMB 11450, NCTC 12416, CCUG 42060, JCM 32817, NBRC 13245",1,Salmonella enterica subsp. enterica,GCA_000006945,negative
5104,K 103,"DSM 4224, CIP 80.39, NCTC 6017, WDCM 00029, CIP 110658, NBRC 100797, CCM 4518, CCUG 20832, CCUG 21354, LMG 18222, CECT 545, CMCC (B) 50094, IP 103K",0,Salmonella enterica subsp. enterica,GCA_900635515,negative
5107,Mutton,"DSM 5569, ATCC 13311, CCM 7933, NCTC 74, WDCM 00121, JCM 1652, CIP 58.58, NBRC 105726, CCUG 11732, CECT 443, LMG 10396",0,Salmonella enterica,GCA_000614485,negative
5116,1348,"DSM 14846, ATCC 13312, CIP 55.133, CIP 58.57, NCTC 5735, JCM 1651, CECT 915, NBRC 105684, CCUG 49677",0,Salmonella enterica subsp. enterica,GCA_003201315,negative
5118,K-1891,"DSM 17420, ATCC 13076, DSM 9898, WDCM 00030, CDC K-1891, CIP 82.97, CCM 7189, NCTC 12694, LMG 10395, CECT 4300",0,Salmonella enterica,GCA_001643395,negative
5120,,"DSM 19587, ATCC 14028, CDC 6516-60, CIP 104115, NCTC 12023, WDCM 00031, CCUG 31969, CCM 7205, LMG 14933, NCIMB 13284, CECT 4594",0,Salmonella enterica subsp. enterica,GCA_001997115,negative
23943,"110 (K 108), CNCT SK 108, GISK 100331, 110","DSM 27656, NCIMB (QC) 50075, NCTC 6022, WDCM 00120, CIP 110280, KOS 108, CECT 4153",0,Salmonella enterica subsp. enterica,GCA_900455805,negative
23945,"GISK 100354, StBL 4519","DSM 27686, CECT 4154, CIP 110069, NCIMB (QC) 50077, NCTC 5742, WDCM 00124, BTCC 41, CNCTC SK 41, KOS 41",0,Salmonella enterica subsp. enterica,GCA_002156325,negative
5123,264-66,"DSM 9221, ATCC 43974, CIP 82.32, NCTC 10401, CCUG 30041, JCM 1655, ATCC 29834, BCRC 15578, KCTC 12399, NCTC 12418",1,Salmonella enterica subsp. houtenae,GCA_008692755,negative
5129,1240,"DSM 14848, ATCC 43976, CIP 102501, CCUG 30038, NCTC 12420",1,Salmonella enterica subsp. indica,GCA_014306235,negative
5124,72,"CCUG 30039, DSM 9220, ATCC 43972, CIP 82.29, NCTC 5773, JCM 1653, ATCC 6959, BCRC 15450, CECT 4000, NCTC 2206",1,Salmonella enterica subsp. salamae,GCA_003120605,negative
1548,CH9d,"DSM 18087, CCM 7365, CECT 7154, CGMCC 1.6287",1,Salsuginibacillus kocurii,GCA_000377705,positive
5131,M601,"DSM 16730, CFBP 5236, ICMP 13937, CIP 107322",1,Samsonia erythrinae,GCA_004342665,negative
166298,FSY-15,"BCRC 81011, LMG 29732, KCTC 52445",1,Sandaracinomonas limnophila,GCA_004005965,negative
17885,NOSO-4,"DSM 53668, NCCB 100362",1,Sandaracinus amylolyticus,GCA_000737325,negative
158620,TH057,"CGMCC 1.15803, LMG 30294",1,Sandarakinorhabdus cyanobacteriorum,GCA_002251755,negative
14167,so42,"DSM 17366, CECT 7086, CIP 109260",1,Sandarakinorhabdus limnophila,GCA_000420765,negative
14042,,"DSM 18966, JCM 14623, KCTC 13143, Kopri 21702",1,Sanguibacter antarcticus,GCA_002564005,positive
